Fact_ID,Student_ID,Financial_ID,Course_ID,Instructor_ID,Enrollment_Date,Assignments_Completed,Quizzes_Taken,Midterm_Score,Final_Exam_Score,Overall_Grade,Attendance_Rate,Discussion_Participation,Time_Spent_on_LMS,Satisfaction_Score,Instructor_Rating,Tuition_Fees,Scholarship_Amount,Payment_Status,Comments,Name,Age,Gender,Grade_Level,Major,Enrollment_Status,Subject,Course,Credit_Load,Difficulty_Level,Instructor_Name,Instructor_Department,Years_of_Experience
F00001,S0100,Fn0182,C028,I03,20-04-22,7,2,55,62,A,70,24,24,8,6,15210,4701,Paid,Great Course,Amber Garcia,18,Female,Senior,Business,Graduated,Database Design & Optimization,Data Engineering,4,Beginner,Sean Nichols,Data Engineering,13
F00002,S0284,Fn0540,C023,I02,04-08-23,12,7,87,77,D,54,22,91,3,4,11328,4877,Pending,Needs Improvement,Ebony Johnson,24,Other,Freshman,Computer Science,Active,Deep Learning with TensorFlow,Data Science,3,Advanced,Melissa Jackson,Data Science,5
F00003,S0949,Fn1886,C046,I03,22-01-23,11,7,57,94,D,85,1,16,5,7,15706,4147,Paid,Average Course,Clifford Hopkins,23,Male,Senior,Computer Science,Active,Data Wrangling with Python,Data Engineering,4,Intermediate,Sean Nichols,Data Engineering,13
F00004,S0527,Fn1063,C001,I03,04-07-22,6,2,86,61,A,76,15,78,3,1,18881,3972,Overdue,Needs Improvement,Leslie Miller,25,Female,Freshman,Biology,Active,ETL & Data Pipelines,Data Engineering,3,Advanced,Sean Nichols,Data Engineering,13
F00005,S0384,Fn0758,C049,I04,29-12-22,5,6,55,73,B,56,21,68,8,3,14911,2857,Paid,Great Course,George Ruiz,26,Female,Sophomore,Psychology,Active,Network Security & Firewalls,Cyber Security,3,Beginner,Michelle Stephens,Cyber Security,12
F00006,S0555,Fn1114,C013,I01,16-05-21,5,6,83,77,B,80,12,36,10,8,11926,4445,Overdue,Excellent Course,Heather Mcclure,19,Other,Freshman,Psychology,Active,Introduction to Data Analytics,Data Analytics,4,Intermediate,Timothy Watson,Data Analytics,8
F00007,S0801,Fn1585,C008,I04,02-06-22,6,8,98,50,B,69,24,66,9,1,19966,3590,Pending,Great Course,Jeffrey Shaffer,22,Female,Freshman,Mathematics,Active,Cybersecurity Essentials,Cyber Security,3,Advanced,Michelle Stephens,Cyber Security,12
F00008,S0898,Fn1794,C019,I01,29-01-23,11,3,89,83,B,74,15,9,6,3,13926,4853,Overdue,Average Course,Justin Turner,20,Other,Freshman,Psychology,Graduated,SQL for Data Analysis,Data Analytics,4,Beginner,Timothy Watson,Data Analytics,8
F00009,S0187,Fn0355,C024,I02,20-11-21,13,8,71,52,B,87,10,48,10,3,8516,713,Overdue,Excellent Course,Joseph Fleming,28,Female,Sophomore,Mathematics,Active,Machine Learning Fundamentals,Data Science,4,Beginner,Melissa Jackson,Data Science,5
F00010,S0008,Fn0010,C040,I03,21-04-21,11,2,78,71,D,74,10,33,4,8,6906,609,Paid,Average Course,Cindy Valencia,20,Male,Sophomore,Computer Science,Graduated,Database Design & Optimization,Data Engineering,4,Advanced,Sean Nichols,Data Engineering,13
